"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2025-02-25T09:05:48.000Z","BUY",0.403659,"CRWD (Crowdstrike Holdings Inc)","STOCK",157.08389985,"USD","Nasdaq",,,1,"USD",,,false,
"2025-02-25T15:00:05.000Z","SELL",3.561354,"NKE (NIKE Inc)","STOCK",287.47249488,"USD","New York Stock Exchange",,,1,"USD",,,false,
"2025-02-27T21:48:25.000Z","BUY",1.042426,"AVGO (Broadcom Inc)","STOCK",206.1918628,"USD","Nasdaq",,,1,"USD",,,false,
"2025-02-27T21:49:26.000Z","BUY",1.026518,"NVDA (NVIDIA Corp)","STOCK",123.3361377,"USD","Nasdaq",,,1,"USD",,,false,
"2025-03-04T13:41:12.000Z","BUY",0.556297,"AVGO (Broadcom Inc)","STOCK",105.35152586,"USD","Nasdaq",,,1,"USD",,,false,
"2025-03-04T13:42:02.000Z","BUY",0.27533,"MSFT (Microsoft Corp)","STOCK",105.3495179,"USD","Nasdaq",,,1,"USD",,,false,
"2025-03-05T06:51:46.000Z","BUY",1,"ASML.AS (ASML Holding NV)","STOCK",677,"EUR","Euronext Amsterdam",,,3.3,"EUR",,,false,
"2025-04-01T07:05:11.000Z","BUY",17,"ESE.PA (BNP Paribas Easy S&P 500 UCITS ETF)","FUND",442.7327,"EUR","Euronext Paris",,,3,"EUR",,,false,
"2025-04-02T15:11:20.000Z","BUY",0.69118,"GOOGL (Alphabet Inc)","STOCK",108.5636426,"USD","Nasdaq",,,,,,,false,
"2025-04-02T15:25:04.000Z","BUY",0.320677,"AVGO (Broadcom Inc)","STOCK",54.28099579,"USD","Nasdaq",,,,,,,false,
"2025-04-02T16:36:32.000Z","BUY",0.735077,"UBER (Uber Technologies Inc)","STOCK",54.27808568,"USD","New York Stock Exchange",,,,,,,false,
"2025-04-25T08:16:30.000Z","BUY",1,"MC.PA (LVMH Moet Hennessy Louis Vuitton SE)","STOCK",501.1,"EUR","Euronext Paris",,,4.41,"EUR",,,false,
"2025-05-02T14:54:22.000Z","BUY",0.701508,"GOOGL (Alphabet Inc)","STOCK",113.644296,"USD","Nasdaq",,,,,,,false,
"2025-05-02T14:56:03.000Z","BUY",0.278427,"AVGO (Broadcom Inc)","STOCK",56.82416643,"USD","Nasdaq",,,,,,,false,
"2025-05-02T16:23:03.000Z","BUY",0.389035,"AMZN (Amazon.com Inc)","STOCK",73.8699658,"USD","Nasdaq",,,,,,,false,
"2025-05-29T07:12:14.000Z","BUY",10,"ESE.PA (BNP Paribas Easy S&P 500 UCITS ETF)","FUND",266.244,"EUR","Euronext Paris",,,2,"EUR",,,false,
"2025-06-02T12:27:41.000Z","BUY",0.792141,"NOV.DE (Novo Nordisk A/S)","STOCK",49.99993992,"EUR","Xetra",,,,,,,false,
"2025-06-02T15:57:34.000Z","BUY",0.556606,"AMZN (Amazon.com Inc)","STOCK",114.41592936,"USD","Nasdaq",,,,,,,false,
"2025-06-02T15:58:49.000Z","BUY",0.685213,"UBER (Uber Technologies Inc)","STOCK",57.20843337,"USD","New York Stock Exchange",,,,,,,false,
"2025-06-30T07:47:04.000Z","BUY",1,"MC.PA (LVMH Moet Hennessy Louis Vuitton SE)","STOCK",448.2,"EUR","Euronext Paris",,,4.41,"EUR",,,false,
"2025-07-18T15:25:50.000Z","SELL",1.048891,"COIN (Coinbase Global Inc)","STOCK",448.39041359,"USD","Nasdaq",,,,,,,false,
"2025-07-21T08:32:15.000Z","BUY",0.959447,"UBER (Uber Technologies Inc)","STOCK",87.30008253,"USD","New York Stock Exchange",,,1,"USD",,,false,
"2025-07-21T08:33:27.000Z","BUY",2.679528,"NOV.DE (Novo Nordisk A/S)","STOCK",149.99997744,"EUR","Xetra",,,1,"EUR",,,false,
"2025-07-21T08:34:07.000Z","BUY",0.75075,"TTWO (Take-Two Interactive Software Inc)","STOCK",174.609435,"USD","Nasdaq",,,1,"USD",,,false,
"2025-10-06T15:18:16.000Z","BUY",1,"AI.PA (Air Liquide SA)","STOCK",169.82,"EUR","Euronext Paris",,,2.5,"EUR",,,false,
"2025-10-06T20:27:23.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",220.9,"USD","Nasdaq",,,2,"USD",,,false,
"2025-11-07T11:04:00.000Z","BUY",0.487923,"TTWO (Take-Two Interactive Software Inc)","STOCK",115.05712263,"USD","Nasdaq",,,1,"USD",,,false,
"2025-11-20T19:28:04.000Z","BUY",1.387154,"UBER (Uber Technologies Inc)","STOCK",115.64702898,"USD","New York Stock Exchange",,,1,"USD",,,false,
"2025-11-24T10:02:17.000Z","BUY",9,"ESE.PA (BNP Paribas Easy S&P 500 UCITS ETF)","FUND",260.64,"EUR","Euronext Paris",,,3,"EUR",,,false,
"2026-01-05T17:03:47.000Z","BUY",0.333388,"AVGO (Broadcom Inc)","STOCK",116.6858,"USD","Nasdaq",,,1,"USD",,,false,
"2026-01-05T17:05:21.000Z","BUY",1.420454,"UBER (Uber Technologies Inc)","STOCK",117.13063684,"USD","New York Stock Exchange",,,1,"USD",,,false,
"2026-01-06T13:01:37.000Z","BUY",1,"AI.PA (Air Liquide SA)","STOCK",156.18,"EUR","Euronext Paris",,,2.5,"EUR",,,false,
"2026-02-06T10:21:14.000Z","BUY",7,"ESE.PA (BNP Paribas Easy S&P 500 UCITS ETF)","FUND",204.12,"EUR","Euronext Paris",,,2,"EUR",,,false,
"2026-02-06T10:22:06.000Z","SELL",1,"ASML.AS (ASML Holding NV)","STOCK",1192,"EUR","Euronext Amsterdam",,,5,"EUR",,,false,
